T1,Removed1,Remaining1,T2,Removed2,Remaining2,T3,Removed3,Remaining3
0,0,100,0,0,100,0,0,100
1,20,80,1,16,84,1,18,82
2,12,68,2,12,72,2,12,70
3,15,53,3,10,62,3,9,61
4,10,43,4,11,51,4,8,53
5,7,36,5,14,37,5,6,47
6,3,33,6,9,28,6,7,40
7,6,27,7,5,23,7,9,31
8,7,20,8,3,20,8,2,29
9,4,16,9,4,16,9,7,22
10,2,14,10,6,10,10,2,20
11,2,12,11,2,8,11,3,17
12,3,9,12,2,6,12,4,13
13,1,8,13,0,6,13,3,10
14,1,7,14,1,5,14,2,8
15,0,7,15,0,5,15,2,6
16,2,5,16,1,4,16,0,6
17,1,4,17,1,3,17,1,5
18,0,4,18,2,1,18,1,4
19,1,3,19,0,1,19,1,3
20,1,2,20,0,1,20,0,3
21,1,1,21,0,1,21,0,3
22,0,1,22,1,0,22,1,2
23,0,1,,,,23,0,2
24,0,1,,,,24,0,2
25,1,0,,,,25,1,1
,,,,,,26,0,1
,,,,,,27,1,0