T1,Removed1,Remaining1,T2,Removed2,Remaining2,T3,Removed3,Remaining3
0,0,100,0,0,100,0,0,100
1,22,78,1,29,71,1,20,80
2,18,60,2,13,58,2,17,63
3,14,46,3,8,50,3,13,50
4,7,39,4,12,38,4,13,37
5,7,32,5,6,32,5,5,32
6,5,27,6,11,21,6,5,27
7,8,19,7,4,17,7,5,22
8,9,10,8,2,15,8,5,17
9,1,9,9,5,10,9,5,12
10,1,8,10,4,6,10,2,10
11,3,5,11,2,4,11,4,6
12,1,4,12,3,1,12,3,3
13,0,4,13,1,0,13,0,3
14,2,2,,,,14,0,3
15,1,1,,,,15,0,3
16,0,1,,,,16,1,2
17,0,1,,,,17,1,1
18,0,1,,,,18,0,1
19,0,1,,,,19,0,1
20,1,0,,,,20,1,0