Element,Spectral line Rank,theta_left,theta_right,d_theta,Order,lambda_left,lambda_right
Hydrogen,1,3,2.25,0.75,1,523.3595624,392.5981576
Hydrogen,2,2.916666667,2.5,0.4166666667,1,508.8345362,436.1938737
Hydrogen,3,3.916666667,3.5,0.4166666667,1,683.0550238,610.4853953
Hydrogen,1,4.833333333,5.25,0.4166666667,2,421.2878259,457.5080933
Hydrogen,2,5.916666667,5.5,0.4166666667,2,515.4093988,479.2287626
Hydrogen,3,7.916666667,7.333333333,0.5833333333,2,688.6633387,638.2082393
Helium,1,2.883333333,2.216666667,0.6666666667,1,503.0242226,386.7848126
Helium,2,2.95,2.5,0.45,1,514.6446776,436.1938737
Helium,3,3,2.75,0.25,1,523.3595624,479.7812852
Helium,4,3.166666667,2.916666667,0.25,1,552.4062629,508.8345362
Helium,5,3.366666667,3,0.3666666667,1,587.2561118,523.3595624
Helium,6,3.5,3.183333333,0.3166666667,1,610.4853953,555.3106799
Helium,7,3.65,3.383333333,0.2666666667,1,636.6143813,590.1599488
Helium,8,3.85,3.5,0.35,1,671.446211,610.4853953
Helium,9,4,3.75,0.25,1,697.5647374,654.0312923
Nitrogen,1,2.483333333,3.083333333,0.6,1,433.2877418,537.8834816
Nitrogen,2,2.716666667,3.266666667,0.55,1,473.97014,569.8320553
Nitrogen,3,2.933333333,3.466666667,0.5333333333,1,511.7396285,604.6783795
Nitrogen,4,3.016666667,3.266666667,0.25,1,526.2644358,569.8320553
Nitrogen,5,3.333333333,3.816666667,0.4833333333,1,581.4482891,665.6414627
Nitrogen,6,3.45,3.95,0.5,1,601.7747947,688.8590843
Nitrogen,7,3.6,4.183333333,0.5833333333,1,627.9051953,729.4808701
Nitrogen,8,3.816666667,4.266666667,0.45,1,665.6414627,743.9857538
Neon,1,2.666666667,2.833333333,0.1666666667,1,465.253122,494.3084335
Neon,2,2.833333333,3.116666667,0.2833333333,1,494.3084335,543.6927324
Neon,3,3.1,3.25,0.15,1,540.7881298,566.9278756
Neon,4,3.216666667,3.6,0.3833333333,1,561.1193727,627.9051953
Neon,5,3.416666667,3.666666667,0.25,1,595.9674726,639.5173359
Neon,6,3.583333333,3.833333333,0.25,1,625.0020267,668.5438652
Neon,7,3.666666667,4.05,0.3833333333,1,639.5173359,706.2698593
CO2,1,2.55,2.916666667,0.3666666667,1,444.9120469,508.8345362
CO2,2,2.75,3.166666667,0.4166666667,1,479.7812852,552.4062629
CO2,3,3,3.333333333,0.3333333333,1,523.3595624,581.4482891
CO2,4,3.233333333,3.6,0.3666666667,1,564.023648,627.9051953
CO2,5,3.5,3.783333333,0.2833333333,1,610.4853953,659.8364892
CO2,6,3.666666667,3.833333333,0.1666666667,1,639.5173359,668.5438652
CO2,7,3.666666667,3.916666667,0.25,1,639.5173359,683.0550238